# T=1.0, U= 3.3, sym
   
#N          time_IB(H)(sec)   time_OTF(H)(sec).    time(Diagonalizing)(sec)   time(Generating OBDM_IB)(sec)   time(Generating OBDM_OTF)(sec)
10		0.104954	0.250344		0.677413			0.116590			1.411135
11		0.168396	0.745084		0.716464			0.600881			6.682098
12		0.486636	3.209550		0.987266			1.794295			33.201875
13		1.210628	13.641737		2.728479			9.403650			169.929572
14		4.511916	64.400354		11.268565			48.249261			875.214687
15		22.512681 	298.437981		51.086462			227.903335			4381.843842
16		99.366958	1360.064522		239.652041			992.198043			21048.615681
17		420.556650	5958.028759		1097.289157			4476.557474			101009.884877
18		1632.632133	27148.268537		4867.814090			19409.463058			481242.232716
19		4924.033960	92196.250050		21413.762353			82882.026190			0	
20		20797.121693	422956.036225		115507.257413			359461.400818			0
	




