# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
    0.010000     -2.394526641352E+01      1.954075300479E+00      4.954132811636E-04      1.810708564102E+00      9.007318339830E-05      2.134421081839E+00      1.341452365826E-02      1.939055065527E-03      3.613521805715E-04
    0.010723     -2.394133108129E+01      1.953167821932E+00      5.595505968145E-04      1.809704675217E+00      1.029878141370E-04      2.134448473580E+00      1.434602327295E-02      2.191873962228E-03      4.136364911945E-04
    0.011498     -2.393711428365E+01      1.952203206806E+00      6.316775775241E-04      1.808634700912E+00      1.177092731789E-04      2.134476910084E+00      1.533944181650E-02      2.476602842647E-03      4.733435611834E-04
    0.012328     -2.393259610050E+01      1.951178391478E+00      7.127303513014E-04      1.807494750745E+00      1.344805102865E-04      2.134506342647E+00      1.639850766356E-02      2.797074560158E-03      5.414960159606E-04
    0.013219     -2.392775523120E+01      1.950090215715E+00      8.037436201121E-04      1.806280768114E+00      1.535750194922E-04      2.134536703744E+00      1.752712018140E-02      3.157546576586E-03      6.192506562312E-04
    0.014175     -2.392256890279E+01      1.948935428420E+00      9.058589639364E-04      1.804988531841E+00      1.753002280859E-04      2.134567904029E+00      1.872935011197E-02      3.562741516151E-03      7.079146490427E-04
    0.015199     -2.391701277261E+01      1.947710694736E+00      1.020333452394E-03      1.803613659209E+00      2.000011667892E-04      2.134599829011E+00      2.000943873633E-02      4.017890434785E-03      8.089633819905E-04
    0.016298     -2.391106082501E+01      1.946412604591E+00      1.148548493403E-03      1.802151610608E+00      2.280644240208E-04      2.134632335355E+00      2.137179564767E-02      4.528778777733E-03      9.240600927243E-04
    0.017475     -2.390468526192E+01      1.945037682775E+00      1.292018828306E-03      1.800597695984E+00      2.599223818523E-04      2.134665246807E+00      2.282099495005E-02      5.101794952888E-03      1.055077381303E-03
    0.018738     -2.389785638682E+01      1.943582400625E+00      1.452401560547E-03      1.798947083263E+00      2.960577250431E-04      2.134698349723E+00      2.436176969309E-02      5.743981394925E-03      1.204120705577E-03
    0.020092     -2.389054248208E+01      1.942043189351E+00      1.631505080256E-03      1.797194808937E+00      3.370082064462E-04      2.134731388168E+00      2.599900434774E-02      6.463087935709E-03      1.373553948288E-03
    0.021544     -2.388270967895E+01      1.940416455060E+00      1.831297720459E-03      1.795335790959E+00      3.833716426432E-04      2.134764058596E+00      2.773772512744E-02      7.267627230335E-03      1.566027129308E-03
    0.023101     -2.387432182034E+01      1.938698595456E+00      2.053915952201E-03      1.793364844122E+00      4.358111027522E-04      2.134796004095E+00      2.958308796095E-02      8.166931916117E-03      1.784506316636E-03
    0.024771     -2.386534031556E+01      1.936886018184E+00      2.301671896465E-03      1.791276698039E+00      4.950602405311E-04      2.134826808178E+00      3.154036393090E-02      9.171213104918E-03      2.032305764929E-03
    0.026561     -2.385572398717E+01      1.934975160750E+00      2.577059900950E-03      1.789066017835E+00      5.619287054504E-04      2.134855988162E+00      3.361492200412E-02      1.029161972912E-02      2.313122280285E-03
    0.028480     -2.384542890913E+01      1.932962511898E+00      2.882761900630E-03      1.786727427605E+00      6.373075524874E-04      2.134882988104E+00      3.581220889983E-02      1.154029818048E-02      2.631071774679E-03
    0.030539     -2.383440823625E+01      1.930844634260E+00      3.221651253812E-03      1.784255536675E+00      7.221745527566E-04      2.134907171359E+00      3.813772596687E-02      1.293045160174E-02      2.990727932661E-03
    0.032745     -2.382261202435E+01      1.928618188065E+00      3.596794721352E-03      1.781644968618E+00      8.175992887348E-04      2.134927812757E+00      4.059700297532E-02      1.447639811669E-02      3.397162867501E-03
    0.035112     -2.380998704088E+01      1.926279955616E+00      4.011452237880E-03      1.778890392928E+00      9.247478981891E-04      2.134944090460E+00      4.319556876961E-02      1.619362721935E-02      3.855989593659E-03
    0.037649     -2.379647656553E+01      1.923826866201E+00      4.469074111719E-03      1.775986559180E+00      1.044887311694E-03      2.134955077553E+00      4.593891878007E-02      1.809885349126E-02      4.373406089498E-03
    0.040370     -2.378202018055E+01      1.921256021014E+00      4.973295287109E-03      1.772928333424E+00      1.179388809448E-03      2.134959733423E+00      4.883247944911E-02      2.021006678280E-02      4.956240668509E-03
    0.043288     -2.376655355027E+01      1.918564717650E+00      5.527926310132E-03      1.769710736467E+00      1.329730705677E-03      2.134956895011E+00      5.188156969292E-02      2.254657798475E-02      5.611998322120E-03
    0.046416     -2.375000818957E+01      1.915750473635E+00      6.136940660608E-03      1.766328983602E+00      1.497499953986E-03      2.134945268018E+00      5.509135959674E-02      2.512905953502E-02      6.348907643911E-03
    0.049770     -2.373231122074E+01      1.912811048454E+00      6.804458148067E-03      1.762778525264E+00      1.684392455541E-03      2.134923418165E+00      5.846682661475E-02      2.797957985747E-02      7.175967896512E-03
    0.053367     -2.371338511854E+01      1.909744463469E+00      7.534724122140E-03      1.759055087971E+00      1.892211845881E-03      2.134889762604E+00      6.201270964360E-02      3.112163101853E-02      8.102995742296E-03
    0.057224     -2.369314744288E+01      1.906549019120E+00      8.332084317615E-03      1.755154714837E+00      2.122866536078E-03      2.134842561590E+00      6.573346139879E-02      3.458014901651E-02      9.140671129628E-03
    0.061359     -2.367151055889E+01      1.903223308799E+00      9.200955242191E-03      1.751073804854E+00      2.378364791793E-03      2.134779910525E+00      6.963319964308E-02      3.838152628822E-02      1.030058181231E-02
    0.065793     -2.364838134398E+01      1.899766228798E+00      1.014579012031E-02      1.746809150079E+00      2.660807650654E-03      2.134699732479E+00      7.371565786741E-02      4.255361622832E-02      1.159526598391E-02
    0.070548     -2.362366088147E+01      1.896176983765E+00      1.117104052785E-02      1.742357969788E+00      2.972379504952E-03      2.134599771301E+00      7.798413611625E-02      4.712572976493E-02      1.303825253415E-02
    0.075646     -2.359724414064E+01      1.892455087192E+00      1.228111398744E-02      1.737717940669E+00      3.315336214522E-03      2.134477585400E+00      8.244145270781E-02      5.212862431529E-02      1.464409848434E-02
    0.081113     -2.356901964280E+01      1.888600356511E+00      1.348032793857E-02      1.732887222078E+00      3.691990663045E-03      2.134330542301E+00      8.708989764964E-02      5.759448574954E-02      1.642842323508E-02
    0.086975     -2.353886911320E+01      1.884612902507E+00      1.477286064638E-02      1.727864475466E+00      4.104695730566E-03      2.134155814018E+00      9.193118858147E-02      6.355690430841E-02      1.840793936221E-02
    0.093260     -2.350666711870E+01      1.880493112868E+00      1.616269976100E-02      1.722648877085E+00      4.555824724614E-03      2.133950373325E+00      9.696643008723E-02      7.005084573911E-02      2.060047982739E-02
    0.100000     -2.347228069096E+01      1.876241629867E+00      1.765358937955E-02      1.717240123245E+00      5.047749389903E-03      2.133710990915E+00      1.021960772051E-01      7.711261921816E-02      2.302502162445E-02
