# L=14, N=14, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
    0.010000     -2.793536501260E+01      2.026928508872E+00      8.669491372739E-04      1.881494647855E+00      1.669436282164E-04      2.216809341894E+00      1.829346779607E-02
    0.010723     -2.793072134621E+01      2.025748642272E+00      9.768268844148E-04      1.880180030277E+00      1.905232149187E-04      2.216841146328E+00      1.954674181489E-02
    0.011498     -2.792574604168E+01      2.024497958054E+00      1.099955047195E-03      1.878781777988E+00      2.173247533000E-04      2.216873908406E+00      2.088097964211E-02
    0.012328     -2.792041569173E+01      2.023173086811E+00      1.237806119180E-03      1.877295355041E+00      2.477652224767E-04      2.216907526973E+00      2.230074157991E-02
    0.013219     -2.791470527446E+01      2.021770606289E+00      1.391993241590E-03      1.875716083350E+00      2.823106781395E-04      2.216941874150E+00      2.381075502821E-02
    0.014175     -2.790858804679E+01      2.020287054417E+00      1.564279471282E-03      1.874039152316E+00      3.214810237212E-04      2.216976791638E+00      2.541590836932E-02
    0.015199     -2.790203543148E+01      2.018718944035E+00      1.756586887774E-03      1.872259630695E+00      3.658550408682E-04      2.217012086688E+00      2.712124282928E-02
    0.016298     -2.789501689726E+01      2.017062779333E+00      1.971005362087E-03      1.870372480857E+00      4.160756489935E-04      2.217047527724E+00      2.893194212044E-02
    0.017475     -2.788749983195E+01      2.015315073987E+00      2.209800781231E-03      1.868372575584E+00      4.728553521189E-04      2.217082839621E+00      3.085331967924E-02
    0.018738     -2.787944940798E+01      2.013472370934E+00      2.475422492320E-03      1.866254717533E+00      5.369818175733E-04      2.217117698627E+00      3.289080331724E-02
    0.020092     -2.787082844009E+01      2.011531263687E+00      2.770509700656E-03      1.864013661436E+00      6.093235158640E-04      2.217151726956E+00      3.504991712508E-02
    0.021544     -2.786159723481E+01      2.009488419040E+00      3.097896527648E-03      1.861644139093E+00      6.908353344057E-04      2.217184487049E+00      3.733626048573E-02
    0.023101     -2.785171343131E+01      2.007340600974E+00      3.460615408427E-03      1.859140887160E+00      7.825640595866E-04      2.217215475531E+00      3.975548408622E-02
    0.024771     -2.784113183314E+01      2.005084695492E+00      3.861898487188E-03      1.856498677655E+00      8.856536025708E-04      2.217244116894E+00      4.231326285252E-02
    0.026561     -2.782980423058E+01      2.002717736074E+00      4.305176652204E-03      1.853712351066E+00      1.001349824750E-03      2.217269756944E+00      4.501526577440E-02
    0.028480     -2.781767921308E+01      2.000236929383E+00      4.794075844198E-03      1.850776851853E+00      1.131004798978E-03      2.217291656058E+00      4.786712265786E-02
    0.030539     -2.780470197138E+01      1.997639680770E+00      5.332410273357E-03      1.847687266051E+00      1.276080324504E-03      2.217308982288E+00      5.087438785231E-02
    0.032745     -2.779081408877E+01      1.994923619108E+00      5.924172193696E-03      1.844438860599E+00      1.438150496447E-03      2.217320804427E+00      5.404250116809E-02
    0.035112     -2.777595332119E+01      1.992086620403E+00      6.573517910820E-03      1.841027123925E+00      1.618903117093E-03      2.217326085029E+00      5.737674614303E-02
    0.037649     -2.776005336551E+01      1.989126829613E+00      7.284749742087E-03      1.837447807227E+00      1.820139726831E-03      2.217323673532E+00      6.088220602101E-02
    0.040370     -2.774304361565E+01      1.986042680069E+00      8.062293707955E-03      1.833696965770E+00      2.043774028376E-03      2.217312299515E+00      6.456371780704E-02
    0.043288     -2.772484890594E+01      1.982832909896E+00      8.910672810988E-03      1.829770999492E+00      2.291828481123E-03      2.217290566194E+00      6.842582488460E-02
    0.046416     -2.770538924128E+01      1.979496574808E+00      9.834475854153E-03      1.825666692073E+00      2.566428853412E-03      2.217256944229E+00      7.247272875286E-02
    0.049770     -2.768457951364E+01      1.976033056737E+00      1.083832186228E-02      1.821381247595E+00      2.869796541188E-03      2.217209765927E+00      7.670824051934E-02
    0.053367     -2.766232920431E+01      1.972442067740E+00      1.192682029747E-02      1.816912323897E+00      3.204238492478E-03      2.217147219905E+00      8.113573285319E-02
    0.057224     -2.763854207155E+01      1.968723648768E+00      1.310452739809E-02      1.812258061660E+00      3.572134618619E-03      2.217067346280E+00      8.575809315740E-02
    0.061359     -2.761311582305E+01      1.964878162930E+00      1.437589911730E-02      1.807417108336E+00      3.975922626300E-03      2.216968032448E+00      9.057767876164E-02
    0.065793     -2.758594177292E+01      1.960906283042E+00      1.574524128560E-02      1.802388636020E+00      4.418080267442E-03      2.216847009463E+00      9.559627495414E-02
    0.070548     -2.755690448265E+01      1.956808973357E+00      1.721665776622E-02      1.797172352496E+00      4.901105076585E-03      2.216701849070E+00      1.008150566740E-01
    0.075646     -2.752588138588E+01      1.952587465559E+00      1.879399750533E-02      1.791768504739E+00      5.427491745788E-03      2.216529961370E+00      1.062345546560E-01
    0.081113     -2.749274239650E+01      1.948243229227E+00      2.048080149369E-02      1.786177874364E+00      5.999707371706E-03      2.216328593118E+00      1.118546267730E-01
    0.086975     -2.745734950001E+01      1.943777937173E+00      2.228025074497E-02      1.780401764624E+00      6.620164896436E-03      2.216094826606E+00      1.176744352435E-01
    0.093260     -2.741955632803E+01      1.939193426165E+00      2.419511645201E-02      1.774441978801E+00      7.291195148237E-03      2.215825579097E+00      1.236924302726E-01
    0.100000     -2.737920771575E+01      1.934491653752E+00      2.622771349965E-02      1.768300790017E+00      8.015017966357E-03      2.215517602727E+00      1.299063405733E-01
    0.107227     -2.733613924264E+01      1.929674651942E+00      2.837985848786E-02      1.761980902723E+00      8.793712961794E-03      2.215167484804E+00      1.363131710750E-01
    0.114976     -2.729017675659E+01      1.924744478657E+00      3.065283334856E-02      1.755485406355E+00      9.629190518211E-03      2.214771648401E+00      1.429092079744E-01
    0.123285     -2.724113588181E+01      1.919703167875E+00      3.304735552490E-02      1.748817721824E+00      1.052316367080E-02      2.214326353148E+00      1.496900311156E-01
    0.132194     -2.718882151115E+01      1.914552679425E+00      3.556355552446E-02      1.741981541739E+00      1.147712151245E-02      2.213827696106E+00      1.566505335313E-01
    0.141747     -2.713302728362E+01      1.909294849357E+00      3.820096246297E-02      1.734980765374E+00      1.249230476326E-02      2.213271612615E+00      1.637849478058E-01
    0.151991     -2.707353504810E+01      1.903931341756E+00      4.095849799078E-02      1.727819429554E+00      1.356968410097E-02      2.212653876985E+00      1.710868787753E-01
    0.162975     -2.701011431458E+01      1.898463602754E+00      4.383447874813E-02      1.720501636665E+00      1.470994178611E-02      2.211970102937E+00      1.785493419427E-01
    0.174753     -2.694252169442E+01      1.892892817375E+00      4.682662723969E-02      1.713031481069E+00      1.591345702799E-02      2.211215743647E+00      1.861648068661E-01
    0.187382     -2.687050033161E+01      1.887219869679E+00      4.993209076374E-02      1.705412975136E+00      1.718029542962E-02      2.210386091301E+00      1.939252446940E-01
    0.200923     -2.679377932722E+01      1.881445306499E+00      5.314746778980E-02      1.697649976072E+00      1.851020272543E-02      2.209476276047E+00      2.018221789498E-01
    0.215443     -2.671207315979E+01      1.875569304878E+00      5.646884096052E-02      1.689746114567E+00      1.990260289076E-02      2.208481264226E+00      2.098467386398E-01
    0.231013     -2.662508110481E+01      1.869591643133E+00      5.989181570977E-02      1.681704726172E+00      2.135660056254E-02      2.207395855792E+00      2.179897127520E-01
    0.247708     -2.653248665689E+01      1.863511675300E+00      6.341156334717E-02      1.673528786063E+00      2.287098757313E-02      2.206214680826E+00      2.262416052381E-01
    0.265609     -2.643395695900E+01      1.857328308537E+00      6.702286736518E-02      1.665220847691E+00      2.444425327082E-02      2.204932195065E+00      2.345926896300E-01
    0.284804     -2.632914224377E+01      1.851039982941E+00      7.072017168256E-02      1.656782985529E+00      2.607459818651E-02      2.203542674363E+00      2.430330625184E-01
    0.305386     -2.621767529244E+01      1.844644653119E+00      7.449762954720E-02      1.648216741904E+00      2.775995051313E-02      2.202040208038E+00      2.515526952312E-01
    0.327455     -2.609917091843E+01      1.838139770729E+00      7.834915188129E-02      1.639523077639E+00      2.949798479553E-02      2.200418691060E+00      2.601414831756E-01
    0.351119     -2.597322548295E+01      1.831522267196E+00      8.226845395748E-02      1.630702325980E+00      3.128614218808E-02      2.198671815065E+00      2.687892924571E-01
    0.376494     -2.583941645167E+01      1.824788535686E+00      8.624909944118E-02      1.621754149025E+00      3.312165162594E-02      2.196793058189E+00      2.774860035551E-01
    0.403702     -2.569730200281E+01      1.817934411440E+00      9.028454101367E-02      1.612677495631E+00      3.500155127454E-02      2.194775673771E+00      2.862215520196E-01
    0.432876     -2.554642069838E+01      1.810955149510E+00      9.436815699570E-02      1.603470559539E+00      3.692270966839E-02      2.192612677959E+00      2.949859663511E-01
    0.464159     -2.538629123232E+01      1.803845398893E+00      9.849328361506E-02      1.594130736181E+00      3.888184602405E-02      2.190296836327E+00      3.037694034390E-01
