# L=19, N=19, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=9)              S₁acc(ℓ=9)                 S₂(ℓ=9)              S₂acc(ℓ=9)                 EN(ℓ=9)              ENacc(ℓ=9)
    0.010000     -3.791067065107E+01      2.165531968639E+00      2.474233944942E-03      2.016131886729E+00      5.365348714958E-04      2.375321293857E+00      3.291734215618E-02
    0.028480     -3.774865054610E+01      2.125470582530E+00      1.197961434180E-02      1.968183054265E+00      3.219417655911E-03      2.375695789021E+00      8.147978196596E-02
    0.081113     -3.730339486848E+01      2.059555066656E+00      4.160802601922E-02      1.881894201983E+00      1.381842099385E-02      2.373701298278E+00      1.731842762477E-01
    0.231013     -3.611919049879E+01      1.973639286660E+00      9.789438545244E-02      1.763592333959E+00      3.857322981904E-02      2.362632605230E+00      3.031296580174E-01
    0.657933     -3.312801574506E+01      1.867706815400E+00      1.683628459911E-01      1.622549830310E+00      7.432013537274E-02      2.329396469825E+00      4.457206880953E-01
    1.873817     -2.621113720182E+01      1.718583758038E+00      2.348514308680E-01      1.440165964423E+00      1.106242715083E-01      2.249951626484E+00      5.764238833213E-01
    3.274549     -2.001688716749E+01      1.586391533565E+00      2.703586277873E-01      1.273019142696E+00      1.308797100662E-01      2.171352658937E+00      6.459088357214E-01
    4.037017     -1.727792516610E+01      1.493017848330E+00      2.912254899090E-01      1.134326682403E+00      1.486544370329E-01      2.112284407749E+00      6.689798702428E-01
    4.328761     -1.634663489846E+01      1.441770017946E+00      2.967628796596E-01      1.058146853145E+00      1.576043672856E-01      2.076065856075E+00      6.680120629294E-01
    4.641589     -1.542199507243E+01      1.371549083097E+00      2.968393489441E-01      9.604518546213E-01      1.664204863358E-01      2.022979611932E+00      6.555072131724E-01
    4.977024     -1.451590302383E+01      1.278705367539E+00      2.869815956125E-01      8.446304604836E-01      1.715919304427E-01      1.947991625985E+00      6.265217696857E-01
    6.579332     -1.124268526147E+01      8.277212080080E-01      1.719222170525E-01      4.331725210429E-01      1.237657316532E-01      1.510325264139E+00      3.981054886281E-01
    8.697490     -8.611472733107E+00      5.164460543941E-01      8.831829399615E-02      2.303656535613E-01      6.732670407614E-02      1.138051297874E+00      2.204508507353E-01
   13.219411     -5.714817287459E+00      2.563328144873E-01      3.477991908978E-02      9.495788487979E-02      2.776500310615E-02      7.645528880088E-01      9.293380575358E-02
   23.101297     -3.283607040160E+00      9.952598564224E-02      1.076725617590E-02      3.033964580755E-02      8.879970074132E-03      4.539109885410E-01      3.010815698227E-02
   46.415889     -1.636607678294E+00      2.970072538918E-02      2.601394228832E-03      7.448415010868E-03      2.181179493668E-03      2.337899952794E-01      7.433651979133E-03
  100.000000     -7.599239425913E-01      7.617230489318E-03      5.560364861509E-04      1.601013746762E-03      4.689067321508E-04      1.108589680866E-01      1.600314761429E-03
